CustomerKey,CustomerId,CustomerName,Segment,Country,HomeBranchKey,OnboardedAt,OnboardedDateKey,CreditScore,RiskBand,ChurnScore,IsPoliticallyExposed
16,CUST00016,Carlos Andersson,Affluent,UK,5,2019-06-23T12:00:00Z,20190623,731,Low,0.763,0
17,CUST00017,Raj Ali,Mass Retail,France,10,2025-01-18T12:00:00Z,20250118,662,Low,0.058,0
18,CUST00018,Carlos Müller,Mass Retail,India,5,2025-07-12T12:00:00Z,20250712,605,Low,0.66,0
19,CUST00019,Grace Lee,Affluent,India,7,2023-12-06T12:00:00Z,20231206,699,Low,0.399,0
20,CUST00020,Sofia Okafor,Mass Retail,UK,8,2024-12-12T12:00:00Z,20241212,572,Low,0.338,0
21,CUST00021,Liam Singh,Mass Retail,Japan,2,2018-05-14T12:00:00Z,20180514,657,Low,0.067,0
22,CUST00022,Raj Ali,Mass Retail,UK,18,2020-11-10T12:00:00Z,20201110,607,Medium,0.723,0
23,CUST00023,Lucas Rossi,Student,UAE,7,2017-04-01T12:00:00Z,20170401,588,Medium,0.097,0
24,CUST00024,Fatima Chen,Business,Japan,4,2025-09-12T12:00:00Z,20250912,571,Low,0.403,0
25,CUST00025,Hannah Patel,Mass Retail,UAE,6,2024-09-24T12:00:00Z,20240924,682,Medium,0.463,0
26,CUST00026,Nina Khan,Business,USA,18,2025-03-16T12:00:00Z,20250316,547,Low,0.969,0
27,CUST00027,Sophia Brown,Mass Retail,USA,6,2021-10-22T12:00:00Z,20211022,734,Medium,0.002,0
28,CUST00028,Priya Johnson,Affluent,India,16,2018-02-10T12:00:00Z,20180210,619,Medium,0.19,0
29,CUST00029,Nina Andersson,Mass Retail,USA,2,2022-10-15T12:00:00Z,20221015,839,Low,0.477,1
30,CUST00030,Wei Dubois,Mass Retail,USA,3,2016-10-03T12:00:00Z,20161003,574,Low,0.675,0
31,CUST00031,Sofia Ali,Affluent,Singapore,2,2019-10-24T12:00:00Z,20191024,581,Medium,0.419,0
32,CUST00032,Ava Sharma,Mass Retail,Canada,11,2018-10-17T12:00:00Z,20181017,662,High,0.266,0
33,CUST00033,Sofia Chen,Mass Retail,USA,1,2017-11-15T12:00:00Z,20171115,774,Low,0.621,0
34,CUST00034,Arjun Nguyen,Mass Retail,France,3,2024-10-26T12:00:00Z,20241026,665,Medium,0.37,0
35,CUST00035,Carlos Wang,Affluent,Japan,17,2017-04-03T12:00:00Z,20170403,544,High,0.668,0
36,CUST00036,Mohammed Martin,Business,USA,4,2023-05-04T12:00:00Z,20230504,823,Low,0.155,0
37,CUST00037,Nina Johnson,Mass Retail,Germany,17,2019-03-12T12:00:00Z,20190312,790,Low,0.251,0
38,CUST00038,Mei Müller,Student,USA,11,2025-10-23T12:00:00Z,20251023,606,High,0.637,0
39,CUST00039,Ethan Garcia,Affluent,USA,4,2020-01-06T12:00:00Z,20200106,578,Medium,0.945,1
40,CUST00040,James Johnson,Mass Retail,USA,14,2020-02-09T12:00:00Z,20200209,605,Low,0.042,0
41,CUST00041,Chloe Garcia,Mass Retail,France,18,2025-02-24T12:00:00Z,20250224,748,Low,0.974,0
42,CUST00042,Nina Singh,Private Wealth,USA,14,2017-03-19T12:00:00Z,20170319,552,Medium,0.179,0
43,CUST00043,Noah Dubois,Business,UK,9,2017-03-19T12:00:00Z,20170319,621,Low,0.787,0
44,CUST00044,Hannah Khan,Mass Retail,India,12,2017-02-23T12:00:00Z,20170223,696,Low,0.821,1
45,CUST00045,Yuki Dubois,Mass Retail,Germany,3,2022-08-16T12:00:00Z,20220816,682,High,0.351,0
46,CUST00046,Mei Johnson,Mass Retail,USA,9,2025-12-29T12:00:00Z,20251229,631,Low,0.581,0
47,CUST00047,Raj Ali,Mass Retail,France,14,2017-06-26T12:00:00Z,20170626,801,Low,0.116,0
48,CUST00048,Emma Sharma,Affluent,India,18,2026-04-15T12:00:00Z,20260415,640,Low,0.364,0
49,CUST00049,Lucas Singh,Affluent,Canada,10,2024-11-27T12:00:00Z,20241127,799,Medium,0.309,0
50,CUST00050,Mohammed Dubois,Affluent,UAE,13,2024-02-26T12:00:00Z,20240226,629,Medium,0.616,0
51,CUST00051,Grace Tanaka,Mass Retail,UAE,11,2023-12-13T12:00:00Z,20231213,778,Medium,0.442,0
52,CUST00052,Grace Lee,Business,Canada,6,2017-05-18T12:00:00Z,20170518,583,Medium,0.284,0
53,CUST00053,Ava Smith,Student,UK,10,2017-11-18T12:00:00Z,20171118,655,Low,0.807,0
54,CUST00054,Sofia Tanaka,Mass Retail,USA,15,2016-10-10T12:00:00Z,20161010,752,High,0.886,0
55,CUST00055,Wei Müller,Mass Retail,USA,1,2023-07-27T12:00:00Z,20230727,594,High,0.778,0
56,CUST00056,Grace Andersson,Mass Retail,USA,15,2023-07-06T12:00:00Z,20230706,608,Medium,0.801,0
57,CUST00057,Carlos Nguyen,Private Wealth,Singapore,17,2021-05-05T12:00:00Z,20210505,758,Low,0.831,0
58,CUST00058,Wei Brown,Mass Retail,UK,9,2023-05-26T12:00:00Z,20230526,806,Medium,0.485,0
59,CUST00059,Ava Khan,Mass Retail,France,11,2023-04-05T12:00:00Z,20230405,816,Medium,0.081,0
60,CUST00060,Lucas Johnson,Affluent,UAE,14,2025-08-01T12:00:00Z,20250801,709,Low,0.543,0
61,CUST00061,Olivia Rossi,Mass Retail,Singapore,1,2017-09-02T12:00:00Z,20170902,834,Low,0.38,0
62,CUST00062,Raj Khan,Business,UAE,18,2016-12-06T12:00:00Z,20161206,819,Medium,0.8,0
63,CUST00063,Ben Nguyen,Mass Retail,UAE,11,2025-12-24T12:00:00Z,20251224,747,Low,0.724,0
64,CUST00064,Ava Nguyen,Mass Retail,Singapore,1,2021-11-20T12:00:00Z,20211120,582,Low,0.643,1
65,CUST00065,Sophia Brown,Mass Retail,India,11,2023-12-07T12:00:00Z,20231207,712,Medium,0.761,0
66,CUST00066,James Khan,Mass Retail,Canada,18,2026-02-01T12:00:00Z,20260201,566,High,1.0,1
67,CUST00067,Anika Garcia,Private Wealth,USA,8,2025-11-08T12:00:00Z,20251108,642,Low,0.839,0
68,CUST00068,Arjun Martin,Affluent,UK,15,2019-12-24T12:00:00Z,20191224,671,Medium,0.767,0
69,CUST00069,Nina Wang,Affluent,USA,10,2017-08-01T12:00:00Z,20170801,595,Medium,0.579,0
70,CUST00070,Ben Lee,Private Wealth,Canada,7,2021-11-09T12:00:00Z,20211109,578,Low,0.592,0
71,CUST00071,James Okafor,Student,Japan,4,2016-10-08T12:00:00Z,20161008,829,Medium,0.783,0
72,CUST00072,Noah Kim,Mass Retail,France,1,2019-01-16T12:00:00Z,20190116,755,Low,0.822,0
73,CUST00073,Daniel Brown,Student,USA,14,2018-05-16T12:00:00Z,20180516,630,Medium,0.734,0
74,CUST00074,Wei Patel,Mass Retail,India,14,2020-11-18T12:00:00Z,20201118,677,Low,0.322,0
75,CUST00075,Hannah Singh,Mass Retail,Singapore,13,2021-02-03T12:00:00Z,20210203,712,Low,0.029,0
76,CUST00076,Yuki Tanaka,Mass Retail,France,9,2023-05-29T12:00:00Z,20230529,681,Low,0.556,0
77,CUST00077,Olivia Patel,Mass Retail,UK,16,2020-01-29T12:00:00Z,20200129,791,Low,0.448,0
78,CUST00078,James Kim,Affluent,Japan,12,2022-11-14T12:00:00Z,20221114,782,High,0.553,0
79,CUST00079,Chloe Tanaka,Mass Retail,Germany,10,2021-03-20T12:00:00Z,20210320,668,Low,0.231,0
80,CUST00080,Hiroshi Brown,Mass Retail,Canada,6,2017-10-04T12:00:00Z,20171004,638,High,0.216,0
81,CUST00081,James Müller,Student,Germany,4,2019-08-12T12:00:00Z,20190812,639,Low,0.296,1
82,CUST00082,Ava Lee,Mass Retail,USA,2,2023-03-25T12:00:00Z,20230325,823,Medium,0.292,0
83,CUST00083,Liam Brown,Mass Retail,India,16,2023-02-12T12:00:00Z,20230212,765,Medium,0.341,0
84,CUST00084,Sofia Wang,Mass Retail,USA,2,2020-10-15T12:00:00Z,20201015,617,Low,0.149,0
85,CUST00085,Nina Nguyen,Mass Retail,UAE,8,2017-09-24T12:00:00Z,20170924,807,Low,0.38,0
86,CUST00086,Priya Lee,Private Wealth,Singapore,2,2022-11-18T12:00:00Z,20221118,590,Low,0.948,0
87,CUST00087,Lucas Nguyen,Mass Retail,USA,18,2023-08-13T12:00:00Z,20230813,578,High,0.157,0
88,CUST00088,Wei Brown,Mass Retail,Germany,10,2023-09-16T12:00:00Z,20230916,772,High,0.071,0
89,CUST00089,Ava Brown,Student,UAE,4,2024-02-01T12:00:00Z,20240201,818,Low,0.225,0
90,CUST00090,Ethan Wang,Mass Retail,Singapore,10,2022-11-09T12:00:00Z,20221109,764,High,0.124,0
91,CUST00091,Raj Kim,Mass Retail,India,15,2020-04-01T12:00:00Z,20200401,581,High,0.598,0
92,CUST00092,Omar Müller,Mass Retail,UK,1,2025-04-12T12:00:00Z,20250412,677,Medium,0.576,0
93,CUST00093,Hiroshi Rossi,Mass Retail,USA,14,2023-03-09T12:00:00Z,20230309,791,Medium,0.969,0
94,CUST00094,Mohammed Sharma,Affluent,USA,11,2016-09-07T12:00:00Z,20160907,750,Medium,0.694,0
95,CUST00095,Omar Dubois,Affluent,USA,11,2021-03-16T12:00:00Z,20210316,669,Medium,0.323,0
96,CUST00096,James Martin,Mass Retail,India,14,2020-03-21T12:00:00Z,20200321,567,Medium,0.188,0
97,CUST00097,Isabella Silva,Student,Germany,18,2024-01-09T12:00:00Z,20240109,607,Low,0.928,1
98,CUST00098,Carlos Kim,Affluent,UK,6,2017-05-05T12:00:00Z,20170505,699,Low,0.551,0
99,CUST00099,Ethan Wang,Student,India,4,2025-01-12T12:00:00Z,20250112,618,Medium,0.498,0
100,CUST00100,Sophia Tanaka,Mass Retail,India,8,2020-11-22T12:00:00Z,20201122,773,Medium,0.551,0
101,CUST00101,Layla Andersson,Business,USA,9,2016-08-12T12:00:00Z,20160812,752,Low,0.34,0
102,CUST00102,Hiroshi Rossi,Mass Retail,Singapore,16,2022-12-16T12:00:00Z,20221216,616,Low,0.447,0
103,CUST00103,Wei Kim,Mass Retail,France,7,2021-03-13T12:00:00Z,20210313,662,Low,0.572,0
104,CUST00104,Liam Garcia,Mass Retail,UAE,13,2017-03-16T12:00:00Z,20170316,617,Medium,0.495,0
105,CUST00105,Olivia Garcia,Mass Retail,India,4,2025-03-06T12:00:00Z,20250306,809,Medium,0.91,0
106,CUST00106,Sophia Lee,Private Wealth,India,9,2025-06-19T12:00:00Z,20250619,713,Low,0.623,0
107,CUST00107,Raj Silva,Business,India,13,2016-09-01T12:00:00Z,20160901,702,Medium,0.627,1
108,CUST00108,Lucas Chen,Mass Retail,Japan,10,2019-03-24T12:00:00Z,20190324,656,High,0.747,0
109,CUST00109,Layla Johnson,Mass Retail,Canada,10,2024-06-09T12:00:00Z,20240609,554,Low,0.046,0
110,CUST00110,Arjun Müller,Mass Retail,India,14,2023-07-26T12:00:00Z,20230726,829,Low,0.682,0
111,CUST00111,Ava Khan,Business,Japan,8,2019-05-10T12:00:00Z,20190510,794,Medium,0.913,0
112,CUST00112,Arjun Patel,Mass Retail,USA,15,2018-10-29T12:00:00Z,20181029,687,Medium,0.678,0
113,CUST00113,Mohammed Tanaka,Private Wealth,Japan,14,2022-12-13T12:00:00Z,20221213,668,Medium,0.457,0
114,CUST00114,Ethan Wang,Mass Retail,Singapore,12,2022-01-10T12:00:00Z,20220110,834,Low,0.296,0
115,CUST00115,Raj Wang,Affluent,USA,2,2023-03-24T12:00:00Z,20230324,794,Low,0.833,0
116,CUST00116,Raj Lee,Mass Retail,UK,9,2019-03-02T12:00:00Z,20190302,610,High,0.628,1
117,CUST00117,Mohammed Singh,Student,Singapore,12,2025-12-06T12:00:00Z,20251206,607,High,0.09,0
118,CUST00118,Mei Müller,Mass Retail,India,12,2017-06-26T12:00:00Z,20170626,811,Low,0.502,0
119,CUST00119,Emma Garcia,Business,Germany,11,2017-04-05T12:00:00Z,20170405,598,Low,0.468,0
120,CUST00120,Olivia Brown,Affluent,India,12,2021-11-06T12:00:00Z,20211106,586,Medium,0.791,0
121,CUST00121,Daniel Rossi,Mass Retail,Japan,9,2017-11-27T12:00:00Z,20171127,839,Low,0.381,0
122,CUST00122,Daniel Nguyen,Mass Retail,India,11,2019-05-11T12:00:00Z,20190511,653,High,0.648,0
123,CUST00123,Noah Chen,Mass Retail,USA,2,2024-09-26T12:00:00Z,20240926,695,Low,0.996,0
124,CUST00124,Chloe Garcia,Mass Retail,France,18,2021-03-20T12:00:00Z,20210320,754,Medium,0.587,0
125,CUST00125,Priya Nguyen,Student,UAE,9,2019-05-27T12:00:00Z,20190527,556,Medium,0.69,0
126,CUST00126,Daniel Rossi,Business,Japan,12,2025-03-11T12:00:00Z,20250311,818,Low,0.902,0
127,CUST00127,Anika Smith,Mass Retail,India,3,2024-12-07T12:00:00Z,20241207,648,Low,0.642,0
128,CUST00128,Carlos Tanaka,Mass Retail,Singapore,7,2024-11-22T12:00:00Z,20241122,575,Medium,0.83,0
129,CUST00129,Ava Garcia,Business,USA,1,2022-08-15T12:00:00Z,20220815,681,Medium,0.858,0
130,CUST00130,Layla Khan,Mass Retail,USA,5,2018-11-22T12:00:00Z,20181122,547,Medium,0.358,0
131,CUST00131,Emma Silva,Mass Retail,USA,14,2025-09-19T12:00:00Z,20250919,809,Medium,0.114,0
132,CUST00132,Liam Sharma,Mass Retail,India,17,2025-01-30T12:00:00Z,20250130,653,Medium,0.945,0
133,CUST00133,Noah Silva,Affluent,USA,16,2025-12-15T12:00:00Z,20251215,745,High,0.426,0
134,CUST00134,Anika Lee,Mass Retail,France,5,2025-05-26T12:00:00Z,20250526,573,Medium,0.126,0
135,CUST00135,Lucas Chen,Mass Retail,India,10,2019-08-10T12:00:00Z,20190810,772,High,0.506,0
136,CUST00136,Wei Kim,Affluent,India,7,2017-09-06T12:00:00Z,20170906,760,Low,0.452,0
137,CUST00137,Mei Rossi,Mass Retail,USA,11,2018-02-14T12:00:00Z,20180214,758,Low,0.313,0
138,CUST00138,Chloe Rossi,Mass Retail,USA,3,2025-04-13T12:00:00Z,20250413,761,Low,0.097,0
139,CUST00139,Hannah Sharma,Affluent,India,11,2020-01-03T12:00:00Z,20200103,602,Medium,0.411,0
140,CUST00140,Yuki Tanaka,Affluent,Singapore,10,2023-01-29T12:00:00Z,20230129,720,Low,0.104,0
141,CUST00141,Mei Ali,Mass Retail,France,18,2025-02-02T12:00:00Z,20250202,728,Low,0.115,0
142,CUST00142,Grace Brown,Student,Singapore,18,2017-09-12T12:00:00Z,20170912,553,Low,0.609,0
143,CUST00143,Ava Ali,Affluent,France,12,2022-11-03T12:00:00Z,20221103,543,High,0.181,0
144,CUST00144,Lucas Nguyen,Mass Retail,USA,3,2019-03-16T12:00:00Z,20190316,811,Low,0.215,0
145,CUST00145,Omar Martin,Mass Retail,Singapore,3,2022-09-01T12:00:00Z,20220901,566,Low,0.156,0
146,CUST00146,Priya Andersson,Mass Retail,UAE,16,2018-11-18T12:00:00Z,20181118,766,Low,0.414,0
147,CUST00147,Liam Khan,Mass Retail,Japan,16,2018-09-13T12:00:00Z,20180913,809,Medium,0.667,0
148,CUST00148,Mohammed Singh,Mass Retail,Germany,7,2024-01-05T12:00:00Z,20240105,610,Low,0.764,1
149,CUST00149,Yuki Okafor,Student,USA,13,2024-05-02T12:00:00Z,20240502,812,High,0.704,0
150,CUST00150,Nina Patel,Mass Retail,Canada,2,2016-08-22T12:00:00Z,20160822,763,Low,0.019,0
151,CUST00151,Olivia Singh,Affluent,Japan,14,2018-05-07T12:00:00Z,20180507,688,Low,0.115,0
152,CUST00152,Noah Khan,Affluent,Canada,12,2016-12-22T12:00:00Z,20161222,585,Medium,0.437,0
153,CUST00153,Arjun Patel,Mass Retail,Germany,11,2021-11-12T12:00:00Z,20211112,653,Medium,0.333,0
154,CUST00154,Ava Brown,Mass Retail,France,12,2024-02-17T12:00:00Z,20240217,615,Low,0.236,0
155,CUST00155,Daniel Silva,Mass Retail,Japan,3,2017-10-16T12:00:00Z,20171016,630,Medium,0.951,0
156,CUST00156,Emma Silva,Student,Japan,11,2021-04-09T12:00:00Z,20210409,701,Medium,0.151,0
157,CUST00157,Isabella Nguyen,Student,USA,12,2019-09-03T12:00:00Z,20190903,799,Low,0.074,1
158,CUST00158,Sofia Okafor,Student,Japan,3,2025-06-11T12:00:00Z,20250611,799,High,0.384,0
159,CUST00159,Yuki Garcia,Mass Retail,Singapore,7,2017-03-22T12:00:00Z,20170322,704,Low,0.605,0
160,CUST00160,Liam Khan,Student,France,3,2016-11-30T12:00:00Z,20161130,798,High,0.646,0
161,CUST00161,Mohammed Dubois,Mass Retail,Singapore,6,2020-06-10T12:00:00Z,20200610,726,Medium,0.373,0
162,CUST00162,Carlos Sharma,Affluent,Japan,11,2025-09-19T12:00:00Z,20250919,573,Medium,0.33,0
163,CUST00163,Grace Garcia,Affluent,Singapore,5,2018-12-10T12:00:00Z,20181210,710,Low,0.082,0
164,CUST00164,Sophia Lee,Affluent,UAE,5,2018-11-17T12:00:00Z,20181117,583,Low,0.31,0
165,CUST00165,Lucas Andersson,Affluent,Canada,17,2017-01-03T12:00:00Z,20170103,587,Low,0.646,1
166,CUST00166,Ava Garcia,Mass Retail,France,16,2023-11-26T12:00:00Z,20231126,638,Low,0.227,0
167,CUST00167,Raj Martin,Student,India,17,2020-08-11T12:00:00Z,20200811,559,Low,0.662,0
168,CUST00168,James Sharma,Mass Retail,Canada,6,2024-04-11T12:00:00Z,20240411,764,High,0.044,0
169,CUST00169,Mohammed Silva,Mass Retail,Canada,15,2023-02-09T12:00:00Z,20230209,659,Low,0.534,0
170,CUST00170,Lucas Müller,Business,India,10,2021-05-13T12:00:00Z,20210513,735,Low,0.503,0
171,CUST00171,Noah Andersson,Mass Retail,USA,16,2023-07-02T12:00:00Z,20230702,730,Low,0.555,0
172,CUST00172,Emma Khan,Student,India,17,2023-03-31T12:00:00Z,20230331,615,Medium,0.831,0
173,CUST00173,Sophia Patel,Business,USA,13,2021-08-26T12:00:00Z,20210826,797,Low,0.374,0
174,CUST00174,Mohammed Silva,Mass Retail,Canada,11,2025-03-12T12:00:00Z,20250312,614,High,0.138,0
175,CUST00175,Priya Garcia,Student,India,1,2021-01-16T12:00:00Z,20210116,580,Medium,0.019,0
176,CUST00176,Liam Khan,Affluent,USA,10,2021-07-23T12:00:00Z,20210723,661,Medium,0.301,0
177,CUST00177,Yuki Ali,Affluent,USA,16,2025-08-07T12:00:00Z,20250807,814,Low,0.016,0
178,CUST00178,Arjun Sharma,Mass Retail,Singapore,12,2026-04-15T12:00:00Z,20260415,663,High,0.571,0
179,CUST00179,Yuki Okafor,Private Wealth,India,18,2025-07-18T12:00:00Z,20250718,799,Low,0.786,0
180,CUST00180,James Patel,Mass Retail,UAE,12,2019-03-06T12:00:00Z,20190306,669,Low,0.747,0
181,CUST00181,Carlos Singh,Affluent,Singapore,11,2025-02-21T12:00:00Z,20250221,608,High,0.044,0
182,CUST00182,Emma Nguyen,Student,Canada,16,2021-02-03T12:00:00Z,20210203,633,Low,0.811,0
183,CUST00183,Ben Okafor,Mass Retail,USA,11,2024-01-25T12:00:00Z,20240125,698,Medium,0.515,0
184,CUST00184,Fatima Brown,Student,Germany,12,2024-02-29T12:00:00Z,20240229,564,Low,0.866,0
185,CUST00185,Arjun Silva,Mass Retail,Canada,15,2021-10-26T12:00:00Z,20211026,737,High,0.339,0
186,CUST00186,Anika Müller,Business,Germany,3,2020-06-25T12:00:00Z,20200625,757,Medium,0.079,0
187,CUST00187,Ethan Kim,Mass Retail,Japan,10,2022-08-17T12:00:00Z,20220817,696,Low,0.446,0
188,CUST00188,Layla Johnson,Mass Retail,Canada,12,2025-10-30T12:00:00Z,20251030,762,Low,0.275,0
189,CUST00189,Anika Sharma,Mass Retail,Canada,6,2020-07-20T12:00:00Z,20200720,555,Medium,0.143,1
190,CUST00190,Sofia Johnson,Mass Retail,Japan,12,2017-07-29T12:00:00Z,20170729,725,Medium,0.383,0
191,CUST00191,Yuki Rossi,Mass Retail,France,15,2022-02-22T12:00:00Z,20220222,579,Medium,0.574,0
192,CUST00192,Nina Okafor,Mass Retail,USA,6,2025-01-12T12:00:00Z,20250112,795,Low,0.518,0
193,CUST00193,Ava Patel,Mass Retail,UK,10,2021-04-20T12:00:00Z,20210420,791,Medium,0.2,0
194,CUST00194,Carlos Okafor,Affluent,Japan,11,2025-04-27T12:00:00Z,20250427,717,Low,0.71,0
195,CUST00195,Noah Tanaka,Business,Canada,6,2018-04-28T12:00:00Z,20180428,725,Low,0.509,0
196,CUST00196,Carlos Garcia,Mass Retail,India,12,2022-04-04T12:00:00Z,20220404,779,Medium,0.804,0
197,CUST00197,Lucas Ali,Mass Retail,Canada,16,2021-11-03T12:00:00Z,20211103,809,Low,0.411,0
198,CUST00198,Raj Okafor,Mass Retail,India,15,2025-06-22T12:00:00Z,20250622,804,High,0.345,0
199,CUST00199,Yuki Garcia,Student,UAE,17,2024-11-09T12:00:00Z,20241109,568,Low,0.831,0
200,CUST00200,Hannah Patel,Mass Retail,UK,12,2018-05-08T12:00:00Z,20180508,805,Low,0.895,0
201,CUST00201,Daniel Müller,Private Wealth,USA,10,2023-03-24T12:00:00Z,20230324,813,Medium,0.093,0
202,CUST00202,Hannah Smith,Mass Retail,Singapore,11,2018-12-01T12:00:00Z,20181201,828,Low,0.041,1
203,CUST00203,Daniel Smith,Affluent,Germany,7,2019-11-02T12:00:00Z,20191102,832,Medium,0.417,0
204,CUST00204,Grace Dubois,Mass Retail,Germany,16,2019-02-08T12:00:00Z,20190208,665,Low,0.805,0
205,CUST00205,Fatima Martin,Affluent,India,14,2024-07-13T12:00:00Z,20240713,787,Low,0.464,0
206,CUST00206,Yuki Okafor,Affluent,France,13,2018-01-26T12:00:00Z,20180126,606,Low,0.761,0
207,CUST00207,Mohammed Dubois,Mass Retail,India,8,2023-04-22T12:00:00Z,20230422,612,Medium,0.097,0
208,CUST00208,Hiroshi Andersson,Private Wealth,France,11,2024-07-06T12:00:00Z,20240706,637,Medium,0.763,0
209,CUST00209,Wei Tanaka,Mass Retail,USA,13,2026-01-17T12:00:00Z,20260117,798,Medium,0.457,0
210,CUST00210,Hannah Chen,Mass Retail,Singapore,16,2020-10-02T12:00:00Z,20201002,686,Medium,0.537,0
211,CUST00211,Sofia Okafor,Mass Retail,UAE,12,2022-03-15T12:00:00Z,20220315,563,Low,0.401,0
212,CUST00212,Anika Sharma,Mass Retail,India,15,2021-12-21T12:00:00Z,20211221,821,Medium,0.28,0
213,CUST00213,Omar Garcia,Private Wealth,France,11,2021-11-20T12:00:00Z,20211120,825,Low,0.939,0
214,CUST00214,Layla Silva,Mass Retail,USA,2,2025-11-08T12:00:00Z,20251108,610,Medium,0.714,0
215,CUST00215,Anika Wang,Affluent,USA,11,2020-07-10T12:00:00Z,20200710,703,Medium,0.163,0
216,CUST00216,James Singh,Student,India,10,2020-05-02T12:00:00Z,20200502,783,High,0.816,0
217,CUST00217,Daniel Ali,Mass Retail,Canada,1,2022-11-08T12:00:00Z,20221108,782,Medium,0.266,0
218,CUST00218,Grace Khan,Mass Retail,USA,17,2020-12-01T12:00:00Z,20201201,734,Low,0.148,0
219,CUST00219,Lucas Tanaka,Affluent,USA,15,2024-03-01T12:00:00Z,20240301,700,Medium,0.419,0
220,CUST00220,Carlos Singh,Affluent,Canada,2,2021-01-06T12:00:00Z,20210106,610,High,0.519,0
