CardKey,CardNumberMasked,AccountKey,CustomerKey,CardType,Network,ExpiresAt,Status,ContactlessEnabled,InternationalEnabled
47,4271-XXXX-XXXX-9814,99,49,Credit,Amex,2029-09-04T12:00:00Z,Active,1,1
48,5955-XXXX-XXXX-2702,101,50,Debit,Visa,2027-12-28T12:00:00Z,Active,1,0
49,4864-XXXX-XXXX-3519,104,52,Debit,Visa,2030-06-03T12:00:00Z,Active,1,1
50,5671-XXXX-XXXX-2154,105,53,Debit,Amex,2027-02-06T12:00:00Z,Active,1,0
51,5423-XXXX-XXXX-1276,108,54,Debit,Mastercard,2029-04-28T12:00:00Z,Active,1,1
52,4817-XXXX-XXXX-2189,109,54,Debit,Mastercard,2030-04-06T12:00:00Z,Active,0,1
53,5883-XXXX-XXXX-8170,111,55,Credit,Mastercard,2028-06-26T12:00:00Z,Active,1,0
54,5915-XXXX-XXXX-9941,112,55,Debit,Mastercard,2029-10-14T12:00:00Z,Active,0,1
55,4666-XXXX-XXXX-3316,114,56,Debit,Visa,2030-06-05T12:00:00Z,Active,1,1
56,5315-XXXX-XXXX-6633,116,57,Debit,Visa,2029-11-12T12:00:00Z,Blocked,1,1
57,5298-XXXX-XXXX-2877,117,58,Debit,Visa,2027-09-12T12:00:00Z,Active,1,1
58,4397-XXXX-XXXX-2103,118,58,Debit,Mastercard,2029-11-15T12:00:00Z,Active,1,0
59,5231-XXXX-XXXX-4842,123,61,Credit,Visa,2029-07-11T12:00:00Z,Blocked,1,1
60,5810-XXXX-XXXX-3496,124,62,Debit,Amex,2029-07-09T12:00:00Z,Active,1,0
61,5352-XXXX-XXXX-4629,126,63,Credit,Amex,2029-03-13T12:00:00Z,Active,1,1
62,5556-XXXX-XXXX-6877,128,64,Debit,Mastercard,2028-08-27T12:00:00Z,Active,1,1
63,4651-XXXX-XXXX-4218,129,65,Debit,Mastercard,2027-04-03T12:00:00Z,Active,1,1
64,4932-XXXX-XXXX-7637,131,66,Credit,Amex,2027-03-21T12:00:00Z,Active,1,1
65,4474-XXXX-XXXX-7430,133,66,Debit,Visa,2029-10-27T12:00:00Z,Active,1,1
66,5472-XXXX-XXXX-9227,137,68,Debit,Visa,2029-08-09T12:00:00Z,Active,1,0
67,4556-XXXX-XXXX-3608,141,70,Debit,Visa,2027-09-22T12:00:00Z,Active,1,1
68,4324-XXXX-XXXX-8989,146,73,Debit,Visa,2029-07-04T12:00:00Z,Active,1,1
69,5497-XXXX-XXXX-8695,150,75,Debit,Mastercard,2027-12-15T12:00:00Z,Active,1,1
70,5954-XXXX-XXXX-5314,153,76,Debit,Amex,2027-05-17T12:00:00Z,Active,1,1
71,4629-XXXX-XXXX-5121,154,77,Debit,Mastercard,2028-11-04T12:00:00Z,Active,0,1
72,5718-XXXX-XXXX-1108,155,77,Debit,Amex,2028-09-23T12:00:00Z,Active,1,1
73,4253-XXXX-XXXX-4062,158,80,Debit,Visa,2029-09-05T12:00:00Z,Active,1,0
74,5837-XXXX-XXXX-2856,160,81,Debit,Mastercard,2028-02-01T12:00:00Z,Active,1,1
75,4349-XXXX-XXXX-1706,161,82,Debit,Visa,2030-06-04T12:00:00Z,Active,1,1
76,4157-XXXX-XXXX-3725,164,83,Debit,Mastercard,2027-01-06T12:00:00Z,Active,0,1
77,5187-XXXX-XXXX-4548,165,84,Debit,Mastercard,2029-12-15T12:00:00Z,Active,1,1
78,5715-XXXX-XXXX-3338,166,85,Credit,Amex,2029-06-30T12:00:00Z,Active,1,1
79,4841-XXXX-XXXX-6614,168,86,Credit,Mastercard,2030-06-29T12:00:00Z,Active,1,1
80,4116-XXXX-XXXX-4315,169,87,Credit,Amex,2028-11-30T12:00:00Z,Active,1,1
81,4587-XXXX-XXXX-1639,171,88,Debit,Amex,2027-08-20T12:00:00Z,Active,1,1
82,4893-XXXX-XXXX-8069,176,91,Credit,Amex,2029-07-01T12:00:00Z,Active,1,0
83,5908-XXXX-XXXX-7246,177,91,Debit,Mastercard,2029-03-14T12:00:00Z,Active,1,0
84,4360-XXXX-XXXX-8817,180,93,Debit,Visa,2030-01-09T12:00:00Z,Active,0,1
85,4105-XXXX-XXXX-1116,182,94,Debit,Amex,2029-11-04T12:00:00Z,Active,1,1
86,5518-XXXX-XXXX-6935,183,94,Debit,Visa,2027-12-12T12:00:00Z,Active,1,0
87,5678-XXXX-XXXX-6990,186,96,Credit,Amex,2028-03-20T12:00:00Z,Active,1,0
88,5283-XXXX-XXXX-7065,189,98,Debit,Amex,2029-02-10T12:00:00Z,Active,1,1
89,5853-XXXX-XXXX-3262,190,99,Debit,Amex,2028-09-22T12:00:00Z,Active,1,1
90,5904-XXXX-XXXX-6544,192,100,Credit,Amex,2027-09-14T12:00:00Z,Active,1,0
91,4923-XXXX-XXXX-2492,193,100,Debit,Visa,2028-12-22T12:00:00Z,Blocked,1,1
92,4723-XXXX-XXXX-1618,197,102,Debit,Amex,2028-04-08T12:00:00Z,Active,1,0
93,5828-XXXX-XXXX-1941,198,103,Credit,Visa,2030-03-28T12:00:00Z,Active,1,1
94,5299-XXXX-XXXX-1550,199,104,Debit,Amex,2030-06-24T12:00:00Z,Active,1,0
95,4770-XXXX-XXXX-1004,201,104,Debit,Visa,2030-07-29T12:00:00Z,Active,1,1
96,4630-XXXX-XXXX-1251,204,107,Debit,Amex,2030-07-20T12:00:00Z,Active,1,0
97,5455-XXXX-XXXX-5530,206,107,Credit,Visa,2029-11-16T12:00:00Z,Active,1,1
98,4516-XXXX-XXXX-9294,209,109,Credit,Visa,2030-01-07T12:00:00Z,Active,1,1
99,5997-XXXX-XXXX-9813,213,111,Debit,Amex,2027-06-14T12:00:00Z,Active,1,1
100,5894-XXXX-XXXX-8517,214,111,Debit,Amex,2029-07-04T12:00:00Z,Active,1,1
101,5169-XXXX-XXXX-7269,215,112,Credit,Amex,2026-12-13T12:00:00Z,Active,1,1
102,5628-XXXX-XXXX-9776,216,113,Debit,Visa,2028-07-25T12:00:00Z,Active,1,1
103,5177-XXXX-XXXX-3924,217,113,Debit,Mastercard,2029-01-12T12:00:00Z,Active,1,1
104,4610-XXXX-XXXX-4271,218,114,Debit,Visa,2027-10-27T12:00:00Z,Blocked,1,0
105,5259-XXXX-XXXX-2747,219,114,Debit,Visa,2027-12-07T12:00:00Z,Active,0,0
106,4968-XXXX-XXXX-8901,220,115,Debit,Mastercard,2030-03-28T12:00:00Z,Active,1,1
107,5507-XXXX-XXXX-4638,226,118,Credit,Amex,2029-07-19T12:00:00Z,Active,1,1
108,5503-XXXX-XXXX-3863,227,118,Debit,Mastercard,2029-10-29T12:00:00Z,Active,0,0
109,4488-XXXX-XXXX-2650,228,119,Debit,Mastercard,2026-11-04T12:00:00Z,Active,1,0
110,5727-XXXX-XXXX-6621,229,120,Debit,Mastercard,2028-04-08T12:00:00Z,Active,1,1
111,5386-XXXX-XXXX-8384,230,120,Debit,Visa,2028-11-18T12:00:00Z,Active,1,0
112,5923-XXXX-XXXX-4863,231,120,Credit,Amex,2028-01-29T12:00:00Z,Active,1,1
113,4584-XXXX-XXXX-1159,234,121,Credit,Visa,2027-08-12T12:00:00Z,Active,1,1
114,5407-XXXX-XXXX-5111,240,125,Debit,Amex,2029-10-15T12:00:00Z,Active,1,1
115,4320-XXXX-XXXX-5166,243,127,Credit,Mastercard,2027-05-08T12:00:00Z,Active,1,1
116,5452-XXXX-XXXX-1324,244,128,Debit,Mastercard,2028-04-02T12:00:00Z,Active,1,0
117,4899-XXXX-XXXX-5663,246,129,Credit,Mastercard,2027-11-29T12:00:00Z,Active,1,1
118,5728-XXXX-XXXX-5694,248,130,Debit,Mastercard,2029-04-20T12:00:00Z,Active,1,1
119,5969-XXXX-XXXX-2168,249,130,Debit,Visa,2028-09-07T12:00:00Z,Active,1,1
120,5719-XXXX-XXXX-7479,250,131,Credit,Mastercard,2028-07-27T12:00:00Z,Active,1,0
121,5271-XXXX-XXXX-4012,254,133,Debit,Visa,2029-09-18T12:00:00Z,Blocked,1,1
122,5205-XXXX-XXXX-2565,255,134,Debit,Visa,2027-03-30T12:00:00Z,Active,0,1
123,4206-XXXX-XXXX-5300,256,135,Debit,Amex,2029-01-08T12:00:00Z,Active,1,0
124,4855-XXXX-XXXX-5655,257,135,Credit,Mastercard,2028-12-24T12:00:00Z,Active,1,1
125,5984-XXXX-XXXX-8801,260,137,Debit,Mastercard,2030-07-07T12:00:00Z,Active,0,1
126,4705-XXXX-XXXX-8480,262,138,Debit,Amex,2029-04-16T12:00:00Z,Active,1,0
127,5455-XXXX-XXXX-8891,263,139,Credit,Amex,2029-03-26T12:00:00Z,Active,1,1
128,5110-XXXX-XXXX-1001,265,139,Debit,Amex,2029-02-08T12:00:00Z,Active,1,0
129,5873-XXXX-XXXX-8816,269,142,Debit,Mastercard,2029-06-04T12:00:00Z,Active,1,1
130,5293-XXXX-XXXX-7745,270,142,Debit,Amex,2028-02-03T12:00:00Z,Active,1,1
131,5325-XXXX-XXXX-5308,272,143,Credit,Visa,2030-06-01T12:00:00Z,Active,1,1
132,5391-XXXX-XXXX-9715,273,144,Debit,Mastercard,2030-03-26T12:00:00Z,Active,1,0
133,5732-XXXX-XXXX-8418,275,144,Debit,Mastercard,2028-06-02T12:00:00Z,Active,1,1
134,4290-XXXX-XXXX-2675,276,144,Debit,Mastercard,2027-08-25T12:00:00Z,Active,1,0
135,4605-XXXX-XXXX-4558,277,145,Debit,Mastercard,2028-02-06T12:00:00Z,Active,1,0
136,4438-XXXX-XXXX-2314,279,146,Debit,Visa,2028-11-16T12:00:00Z,Active,1,0
137,5936-XXXX-XXXX-7251,280,146,Debit,Visa,2029-06-06T12:00:00Z,Active,1,0
138,5353-XXXX-XXXX-1549,281,147,Credit,Visa,2028-03-10T12:00:00Z,Active,1,0
139,4584-XXXX-XXXX-7375,283,147,Credit,Amex,2029-09-19T12:00:00Z,Active,0,0
140,4359-XXXX-XXXX-8884,285,148,Debit,Amex,2027-01-12T12:00:00Z,Active,1,1
141,4341-XXXX-XXXX-8113,286,149,Debit,Mastercard,2030-07-14T12:00:00Z,Active,1,0
142,4109-XXXX-XXXX-1688,288,150,Credit,Amex,2030-01-27T12:00:00Z,Active,1,1
143,4354-XXXX-XXXX-3583,289,151,Credit,Mastercard,2030-02-20T12:00:00Z,Active,1,1
144,4818-XXXX-XXXX-9787,294,153,Debit,Visa,2027-02-17T12:00:00Z,Active,1,1
145,5850-XXXX-XXXX-4161,296,154,Debit,Visa,2028-09-28T12:00:00Z,Active,1,1
146,4596-XXXX-XXXX-8168,297,154,Credit,Amex,2027-07-20T12:00:00Z,Active,1,0
147,5431-XXXX-XXXX-8674,298,155,Credit,Mastercard,2027-11-10T12:00:00Z,Active,1,1
148,4560-XXXX-XXXX-5844,299,156,Credit,Mastercard,2029-11-26T12:00:00Z,Active,1,1
149,4119-XXXX-XXXX-6965,301,157,Credit,Amex,2030-05-16T12:00:00Z,Active,1,0
150,4636-XXXX-XXXX-9151,302,157,Debit,Amex,2029-10-25T12:00:00Z,Active,1,1
151,4144-XXXX-XXXX-3126,303,158,Debit,Visa,2028-08-07T12:00:00Z,Active,1,1
152,4684-XXXX-XXXX-7366,304,159,Credit,Amex,2029-07-08T12:00:00Z,Active,1,1
153,4113-XXXX-XXXX-4419,305,159,Debit,Amex,2027-01-26T12:00:00Z,Active,1,0
154,5941-XXXX-XXXX-7046,307,160,Debit,Amex,2030-05-18T12:00:00Z,Active,1,1
155,4954-XXXX-XXXX-5979,308,160,Credit,Visa,2029-10-05T12:00:00Z,Active,0,0
156,4297-XXXX-XXXX-9621,310,161,Debit,Amex,2028-02-03T12:00:00Z,Active,1,1
157,5864-XXXX-XXXX-2728,313,162,Credit,Amex,2027-10-19T12:00:00Z,Active,1,0
158,4911-XXXX-XXXX-3955,314,162,Debit,Amex,2029-03-10T12:00:00Z,Active,1,1
159,5422-XXXX-XXXX-6319,315,163,Debit,Mastercard,2030-02-27T12:00:00Z,Active,1,1
160,4484-XXXX-XXXX-5162,317,164,Debit,Mastercard,2028-02-22T12:00:00Z,Active,0,1
161,4630-XXXX-XXXX-3213,318,164,Debit,Mastercard,2026-12-27T12:00:00Z,Expired,1,0
162,5666-XXXX-XXXX-9376,319,165,Debit,Amex,2028-07-23T12:00:00Z,Active,1,1
163,4371-XXXX-XXXX-7014,321,166,Debit,Amex,2029-05-17T12:00:00Z,Active,1,1
164,4851-XXXX-XXXX-2264,322,166,Debit,Amex,2029-12-29T12:00:00Z,Active,1,1
165,4709-XXXX-XXXX-5921,323,167,Credit,Visa,2029-07-13T12:00:00Z,Active,1,1
166,5456-XXXX-XXXX-8115,324,167,Debit,Mastercard,2027-02-09T12:00:00Z,Active,0,1
167,4749-XXXX-XXXX-7266,325,168,Debit,Visa,2030-06-15T12:00:00Z,Active,1,1
168,4256-XXXX-XXXX-1827,326,168,Debit,Amex,2027-08-20T12:00:00Z,Active,1,1
169,4327-XXXX-XXXX-8076,327,168,Debit,Mastercard,2030-02-17T12:00:00Z,Active,1,1
170,4661-XXXX-XXXX-7540,329,169,Debit,Mastercard,2029-06-18T12:00:00Z,Active,1,1
171,5672-XXXX-XXXX-4245,330,169,Debit,Mastercard,2027-07-12T12:00:00Z,Active,1,1
172,4372-XXXX-XXXX-8046,331,170,Debit,Mastercard,2029-09-25T12:00:00Z,Active,1,1
173,5295-XXXX-XXXX-6254,333,171,Debit,Mastercard,2029-02-11T12:00:00Z,Active,1,1
174,5731-XXXX-XXXX-8245,335,172,Credit,Amex,2028-07-03T12:00:00Z,Active,1,1
175,4215-XXXX-XXXX-1893,337,173,Debit,Visa,2028-11-21T12:00:00Z,Active,0,0
176,5123-XXXX-XXXX-6437,344,176,Debit,Visa,2027-06-02T12:00:00Z,Active,1,1
177,5661-XXXX-XXXX-8913,346,177,Credit,Amex,2029-11-10T12:00:00Z,Active,1,1
178,4361-XXXX-XXXX-3790,347,178,Credit,Visa,2030-07-17T12:00:00Z,Active,1,0
179,4168-XXXX-XXXX-7367,350,179,Debit,Amex,2027-02-03T12:00:00Z,Active,1,0
180,4119-XXXX-XXXX-5792,351,180,Credit,Amex,2030-06-30T12:00:00Z,Active,1,0
181,5987-XXXX-XXXX-9709,352,181,Debit,Visa,2027-05-09T12:00:00Z,Active,1,1
182,5441-XXXX-XXXX-9027,354,182,Debit,Mastercard,2026-12-01T12:00:00Z,Active,1,1
183,5341-XXXX-XXXX-9212,355,183,Credit,Mastercard,2028-10-07T12:00:00Z,Active,1,1
184,5330-XXXX-XXXX-3485,361,185,Credit,Mastercard,2026-12-17T12:00:00Z,Blocked,1,0
185,4527-XXXX-XXXX-4938,362,186,Credit,Amex,2027-04-15T12:00:00Z,Active,1,0
186,4694-XXXX-XXXX-9869,366,187,Debit,Amex,2029-11-01T12:00:00Z,Active,1,0
187,5888-XXXX-XXXX-3378,367,188,Debit,Amex,2029-09-24T12:00:00Z,Active,0,0
188,4288-XXXX-XXXX-6203,370,190,Debit,Visa,2029-12-02T12:00:00Z,Active,1,0
189,5553-XXXX-XXXX-5485,372,191,Credit,Visa,2029-02-11T12:00:00Z,Blocked,1,1
190,4710-XXXX-XXXX-4804,373,192,Debit,Visa,2030-03-24T12:00:00Z,Active,1,1
191,5829-XXXX-XXXX-7126,374,192,Credit,Visa,2029-06-20T12:00:00Z,Active,1,1
192,5882-XXXX-XXXX-1245,376,193,Debit,Mastercard,2027-11-17T12:00:00Z,Active,0,1
193,4281-XXXX-XXXX-8197,377,194,Debit,Amex,2027-12-07T12:00:00Z,Active,1,1
194,4722-XXXX-XXXX-7232,378,194,Debit,Amex,2028-03-06T12:00:00Z,Active,1,1
195,4633-XXXX-XXXX-2791,380,196,Credit,Mastercard,2030-01-01T12:00:00Z,Active,1,0
196,4671-XXXX-XXXX-7347,383,197,Debit,Amex,2029-10-23T12:00:00Z,Active,1,0
197,5411-XXXX-XXXX-5684,384,197,Credit,Mastercard,2027-11-10T12:00:00Z,Active,1,1
198,5192-XXXX-XXXX-9202,386,198,Debit,Visa,2027-08-05T12:00:00Z,Active,1,1
199,5431-XXXX-XXXX-8387,387,198,Credit,Visa,2029-11-10T12:00:00Z,Active,1,1
200,4356-XXXX-XXXX-6309,388,199,Credit,Amex,2027-12-05T12:00:00Z,Active,1,0
201,5749-XXXX-XXXX-6946,389,200,Debit,Visa,2027-06-28T12:00:00Z,Active,1,1
202,4487-XXXX-XXXX-7235,391,201,Credit,Visa,2029-08-30T12:00:00Z,Active,1,0
203,4989-XXXX-XXXX-3369,394,202,Debit,Visa,2030-06-29T12:00:00Z,Active,1,1
204,5395-XXXX-XXXX-3960,396,203,Credit,Visa,2028-07-09T12:00:00Z,Active,1,0
205,5975-XXXX-XXXX-9169,397,203,Debit,Amex,2028-03-19T12:00:00Z,Active,1,1
206,5564-XXXX-XXXX-7719,398,204,Credit,Mastercard,2029-07-24T12:00:00Z,Active,1,1
207,5734-XXXX-XXXX-4401,399,204,Credit,Visa,2028-03-02T12:00:00Z,Active,1,1
208,5439-XXXX-XXXX-2436,400,205,Debit,Visa,2027-08-11T12:00:00Z,Active,1,0
209,4566-XXXX-XXXX-6901,403,207,Credit,Visa,2027-09-13T12:00:00Z,Active,1,1
210,4876-XXXX-XXXX-8001,404,208,Credit,Amex,2028-11-10T12:00:00Z,Active,1,1
211,5637-XXXX-XXXX-4438,405,208,Debit,Amex,2028-05-02T12:00:00Z,Active,1,1
212,4595-XXXX-XXXX-5705,407,210,Credit,Mastercard,2029-12-31T12:00:00Z,Active,1,1
213,4729-XXXX-XXXX-9132,408,210,Debit,Amex,2030-04-16T12:00:00Z,Active,1,1
214,4221-XXXX-XXXX-1392,413,213,Debit,Mastercard,2028-06-03T12:00:00Z,Blocked,1,1
215,5458-XXXX-XXXX-4478,416,214,Debit,Visa,2029-02-13T12:00:00Z,Active,1,0
216,5407-XXXX-XXXX-9301,417,215,Credit,Amex,2028-03-22T12:00:00Z,Active,1,1
217,4952-XXXX-XXXX-3877,418,215,Debit,Visa,2028-09-16T12:00:00Z,Active,1,1
218,4593-XXXX-XXXX-3545,421,217,Debit,Amex,2029-06-15T12:00:00Z,Active,1,0
219,5860-XXXX-XXXX-1917,423,217,Credit,Amex,2028-09-03T12:00:00Z,Active,1,0
220,5918-XXXX-XXXX-6793,424,217,Debit,Visa,2029-10-19T12:00:00Z,Active,0,1
221,5741-XXXX-XXXX-9753,425,218,Credit,Visa,2026-12-20T12:00:00Z,Active,1,1
222,5822-XXXX-XXXX-6152,429,220,Credit,Amex,2030-02-17T12:00:00Z,Active,1,1
223,5321-XXXX-XXXX-9603,430,220,Debit,Mastercard,2028-02-16T12:00:00Z,Active,1,1
224,5618-XXXX-XXXX-1408,431,220,Debit,Mastercard,2027-12-05T12:00:00Z,Active,0,1
